Timestamp,CaseId,Activity,ModelTime,Resource,Brand
2020-06-01 06:00:00,0,Online,0,111,PEAR
2020-06-01 06:16:43,1,Online,1003,111,CP
2020-06-01 08:21:49,2,App,8509,111,CP
2020-06-01 09:19:59,0,Register Low,11999,1,PEAR
2020-06-01 09:26:51,0,Ask if Reimbursement,12411,1,PEAR
2020-06-01 09:28:00,1,Register High,12480,2,CP
2020-06-01 09:34:59,1,Ask if Reimbursement,12899,2,CP
2020-06-01 10:26:05,3,App,15965,111,PEAR
2020-06-01 10:42:07,2,Register Low,16927,1,CP
2020-06-01 10:47:03,2,Assess Fraud,17223,20,CP
2020-06-01 10:49:00,2,Ask if Reimbursement,17340,1,CP
2020-06-01 10:51:46,2,Close Fraud,17506,20,CP
2020-06-01 11:05:47,4,Online,18347,111,PEAR
2020-06-01 12:45:50,3,Register Low,24350,1,PEAR
2020-06-01 12:52:56,3,Ask if Reimbursement,24776,2,PEAR
2020-06-01 13:25:57,4,Register Low,26757,1,PEAR
2020-06-01 13:29:48,5,Online,26988,111,PEAR
2020-06-01 13:32:53,4,Ask if Reimbursement,27173,1,PEAR
2020-06-01 14:22:44,6,App,30164,111,CP
2020-06-01 15:09:11,7,App,32951,111,PEAR
2020-06-01 15:49:41,5,Register Low,35381,1,PEAR
2020-06-01 15:56:37,5,Ask if Reimbursement,35797,1,PEAR
2020-06-01 19:22:31,8,App,48151,111,SKP
2020-06-01 20:31:24,9,Online,52284,111,PEAR
2020-06-01 20:41:39,10,Online,52899,111,CP
2020-06-01 21:27:49,11,App,55669,111,PEAR
2020-06-01 21:54:22,12,Online,57262,111,PEAR
2020-06-02 05:21:42,13,Online,84102,111,PEAR
2020-06-02 07:50:00,14,Online,93000,111,SKP
2020-06-02 09:00:00,6,Assess Fraud,97200,20,CP
2020-06-02 09:00:00,6,Register Low,97200,1,CP
2020-06-02 09:19:44,12,Register Low,98384,2,PEAR
2020-06-02 09:25:08,13,Assess Fraud,98708,20,PEAR
2020-06-02 09:28:18,7,Register High,98898,1,PEAR
2020-06-02 09:29:59,6,Close Fraud,98999,20,CP
2020-06-02 09:33:19,10,Ask if Reimbursement,99199,1,CP
2020-06-02 09:39:57,13,Close Fraud,99597,20,PEAR
2020-06-02 09:47:29,9,Register High,100049,2,PEAR
2020-06-02 09:52:32,8,Ask if Reimbursement,100352,2,SKP
2020-06-02 09:53:24,11,Register Low,100404,1,PEAR
2020-06-02 09:58:40,9,Ask if Reimbursement,100720,1,PEAR
2020-06-02 10:03:37,7,Ask if Reimbursement,101017,1,PEAR
2020-06-02 10:08:13,15,Online,101293,111,PEAR
2020-06-02 10:09:55,10,Assess Fraud,101395,20,CP
2020-06-02 10:12:25,10,Register High,101545,2,CP
2020-06-02 10:23:28,14,Register Low,102208,1,SKP
2020-06-02 10:27:54,16,App,102474,111,PEAR
2020-06-02 10:32:02,13,Register Low,102722,2,PEAR
2020-06-02 10:35:12,14,Assess Fraud,102912,20,SKP
2020-06-02 10:37:02,14,Ask if Reimbursement,103022,2,SKP
2020-06-02 10:40:07,10,Close Fraud,103207,20,CP
2020-06-02 10:41:56,11,Ask if Reimbursement,103316,2,PEAR
2020-06-02 10:43:11,8,Register Low,103391,1,SKP
2020-06-02 10:47:10,13,Ask if Reimbursement,103630,2,PEAR
2020-06-02 10:47:56,12,Ask if Reimbursement,103676,1,PEAR
2020-06-02 10:50:13,14,Close Fraud,103813,20,SKP
2020-06-02 10:52:12,6,Ask if Reimbursement,103932,2,CP
2020-06-02 12:27:59,15,Register Low,109679,2,PEAR
2020-06-02 12:34:57,15,Ask if Reimbursement,110097,2,PEAR
2020-06-02 12:52:39,16,Assess Fraud,111159,20,PEAR
2020-06-02 12:55:45,16,Register High,111345,1,PEAR
2020-06-02 12:57:33,16,Close Fraud,111453,20,PEAR
2020-06-02 13:02:49,16,Ask if Reimbursement,111769,1,PEAR
2020-06-02 15:36:03,17,Online,120963,111,SKP
2020-06-02 16:40:50,18,App,124850,111,PEAR
2020-06-02 18:27:48,19,Online,131268,111,PEAR
2020-06-02 18:41:21,20,App,132081,111,CP
2020-06-02 18:45:49,21,App,132349,111,PEAR
2020-06-02 19:38:41,22,Online,135521,111,CP
2020-06-02 22:09:30,23,Online,144570,111,CP
2020-06-02 23:00:06,24,App,147606,111,SKP
2020-06-02 23:58:43,25,App,151123,111,SKP
2020-06-03 00:27:49,26,Online,152869,111,SKP
2020-06-03 00:48:40,27,Online,154120,111,PEAR
2020-06-03 02:00:03,28,Online,158403,111,PEAR
2020-06-03 02:14:09,29,Online,159249,111,PEAR
2020-06-03 04:51:00,30,Online,168660,111,SKP
2020-06-03 09:19:35,22,Register Low,184775,1,CP
2020-06-03 09:20:16,29,Register Low,184816,2,PEAR
2020-06-03 09:24:56,27,Assess Fraud,185096,20,PEAR
2020-06-03 09:25:01,27,Ask if Reimbursement,185101,2,PEAR
2020-06-03 09:45:15,28,Register Low,186315,2,PEAR
2020-06-03 09:47:26,23,Register High,186446,1,CP
2020-06-03 09:49:58,18,Assess Fraud,186598,20,PEAR
2020-06-03 09:52:18,0,Pay,186738,2,PEAR
2020-06-03 09:54:53,18,Close Fraud,186893,20,PEAR
2020-06-03 10:07:11,20,Register Low,187631,1,CP
2020-06-03 10:12:22,21,Register Low,187942,2,PEAR
2020-06-03 10:23:05,1,Repair,188585,5,CP
2020-06-03 10:32:26,26,Register Low,189146,2,SKP
2020-06-03 10:34:57,24,Register High,189297,1,SKP
2020-06-03 10:51:57,31,App,190317,111,PEAR
2020-06-03 10:52:21,19,Register Low,190341,2,PEAR
2020-06-03 10:54:49,30,Register Low,190489,1,SKP
2020-06-03 10:59:42,21,Ask if Reimbursement,190782,1,PEAR
2020-06-03 11:04:55,22,Ask if Reimbursement,191095,1,CP
2020-06-03 11:10:00,23,Ask if Reimbursement,191400,1,CP
2020-06-03 11:15:03,24,Ask if Reimbursement,191703,1,SKP
2020-06-03 11:20:02,25,Register High,192002,2,SKP
2020-06-03 11:22:04,2,Pay,192124,1,CP
2020-06-03 11:26:57,25,Ask if Reimbursement,192417,1,SKP
2020-06-03 11:36:57,1,Send Repaired,193017,1,CP
2020-06-03 11:40:19,17,Register Low,193219,2,SKP
2020-06-03 11:57:05,27,Register High,194225,1,PEAR
2020-06-03 12:00:18,18,Register Low,194418,2,PEAR
2020-06-03 12:02:06,26,Ask if Reimbursement,194526,1,SKP
2020-06-03 12:05:21,28,Ask if Reimbursement,194721,2,PEAR
2020-06-03 12:07:09,19,Ask if Reimbursement,194829,1,PEAR
2020-06-03 12:10:26,17,Ask if Reimbursement,195026,2,SKP
2020-06-03 12:12:13,20,Ask if Reimbursement,195133,1,CP
2020-06-03 12:15:26,18,Ask if Reimbursement,195326,2,PEAR
2020-06-03 12:17:20,29,Ask if Reimbursement,195440,1,PEAR
2020-06-03 12:20:13,30,Ask if Reimbursement,195613,2,SKP
2020-06-03 13:01:59,3,Pay,198119,1,PEAR
2020-06-03 13:11:05,31,Register Low,198665,2,PEAR
2020-06-03 13:18:02,31,Ask if Reimbursement,199082,1,PEAR
2020-06-03 13:39:47,4,Pay,200387,1,PEAR
2020-06-03 14:00:04,32,Online,201604,111,PEAR
2020-06-03 15:57:52,5,Pay,208672,1,PEAR
2020-06-03 15:59:30,33,Online,208770,111,SKP
2020-06-03 16:17:14,34,App,209834,111,PEAR
2020-06-03 16:20:23,32,Register Low,210023,1,PEAR
2020-06-03 16:25:17,32,Assess Fraud,210317,20,PEAR
2020-06-03 16:27:18,32,Ask if Reimbursement,210438,1,PEAR
2020-06-03 16:43:34,35,App,211414,111,PEAR
